smiles,neg_log_ic50,chembl_id,set
Brc1cc2c(NCc3ccccc3)ncnc2s1,6.617982957425132,CHEMBL3416599,valid
Brc1cc2c(NCc3ccccn3)ncnc2s1,5.102153068420428,CHEMBL3416616,train
Brc1cc2c(NCc3cccs3)ncnc2s1,5.862013267276469,CHEMBL3416619,train
Brc1cc2c(NCc3ccncc3)ncnc2s1,5.410832609453952,CHEMBL3416614,train
Brc1cc2c(Nc3ccccc3)ncnc2s1,7.096910013008056,CHEMBL3416621,train
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,6.1487416512809245,CHEMBL2325098,valid
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,6.309803919971486,CHEMBL2325091,train
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,5.048176964684088,CHEMBL1821878,train
Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,5.504455662453552,CHEMBL1928712,train
Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,4.872363747448347,CHEMBL381306,train
Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,5.0,CHEMBL382862,train
Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1,7.087092277507399,CHEMBL554983,train
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,6.854648878356072,CHEMBL423224,train
Brc1cccc(Nc2ccnc3ccccc23)c1,5.259637310505756,CHEMBL37346,train
Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,6.867591088495232,CHEMBL72393,train
Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,5.5713337517843655,CHEMBL383614,train
Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,5.280018032039548,CHEMBL203219,train
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,6.565431095965801,CHEMBL155100,train
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,6.130768280269024,CHEMBL149512,train
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,7.75713928675921,CHEMBL356850,valid
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,6.135488918941608,CHEMBL153409,train
Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1,7.3979400086720375,CHEMBL346863,valid
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,8.268815977238738,CHEMBL126384,train
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,8.510955466718961,CHEMBL126623,train
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.291198562418156,CHEMBL126791,train
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,8.142846335990857,CHEMBL128987,train
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.040481884675245,CHEMBL338114,train
Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,7.733298033115912,CHEMBL3806143,valid
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,8.118828052667032,CHEMBL36967,train
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,8.799351227505223,CHEMBL40734,train
Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.096910013008056,CHEMBL66031,train
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,8.883604592903845,CHEMBL39337,valid
Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,8.387216143280265,CHEMBL172652,train
Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,9.36001575195841,CHEMBL447331,train
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,7.070581074285707,CHEMBL1198361,train
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,8.096910013008056,CHEMBL2087359,train
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,7.259637310505756,CHEMBL2087353,train
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,7.801029995663981,CHEMBL2087355,train
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,7.801029995663981,CHEMBL2087356,train
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,8.154901959985743,CHEMBL2087357,train
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,7.823908740944319,CHEMBL93051,train
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,6.920818753952375,CHEMBL2087352,train
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,7.110026361596004,CHEMBL1797418,valid
